iter	Logloss
0	0.6354897728
1	0.5769979146
2	0.5370042126
3	0.5016815655
4	0.4675024123
5	0.4401460928
6	0.4146282856
7	0.3923081253
8	0.3679125386
9	0.3476490466
10	0.332642182
11	0.3201364277
12	0.3074508348
13	0.2970621938
14	0.2884269053
15	0.2802471905
16	0.2736307692
17	0.2659955209
18	0.2592420152
19	0.2540768079
20	0.2488752297
21	0.2443276131
22	0.2396765214
23	0.2373634486
24	0.2336679358
25	0.2314141953
26	0.2261341178
27	0.2233311992
28	0.2214326185
29	0.2206185907
30	0.2187432308
31	0.2172669724
32	0.2153446901
33	0.2132381304
34	0.2120063911
35	0.2107206969
36	0.2095413387
37	0.2080431527
38	0.2068696245
39	0.2057648707
40	0.2036988393
41	0.2025280149
42	0.201326514
43	0.1993087351
44	0.1985506217
45	0.1979863578
46	0.1966200145
47	0.1959263906
48	0.1955753618
49	0.1952188992
50	0.1947297738
51	0.194321202
52	0.1939254969
53	0.1933662541
54	0.1924118078
55	0.191789272
56	0.1911938415
57	0.190994647
58	0.1902746879
59	0.1899128426
60	0.1895473126
61	0.1890925512
62	0.1888741153
63	0.1887131765
64	0.1883833131
65	0.1880640689
66	0.1878310088
67	0.1874603162
68	0.1868830746
69	0.1866716268
70	0.1864461269
71	0.1859320042
72	0.1855471574
73	0.1852149436
74	0.1849635575
75	0.1847259154
76	0.1844944253
77	0.1843240708
78	0.1842405817
79	0.184069896
80	0.1837930846
81	0.1831616058
82	0.1829797446
83	0.1825121353
84	0.1823786965
85	0.1822272852
86	0.1816800645
87	0.181495446
88	0.1812919471
89	0.1811655871
90	0.1807813724
91	0.1805980093
92	0.1804656726
93	0.1802925672
94	0.1801480202
95	0.1798573368
96	0.179672118
97	0.1795631335
98	0.1794617508
99	0.1793653806
100	0.1792532161
101	0.1790651474
102	0.1788807993
103	0.1786750159
104	0.178494398
105	0.1783748442
106	0.1782429839
107	0.1780744206
108	0.1778474782
109	0.1777705559
110	0.1775920908
111	0.1774909665
112	0.1773620161
113	0.1772726116
114	0.177069781
115	0.176942252
116	0.1767530589
117	0.1766425873
118	0.176537856
119	0.1764426083
120	0.1763565347
121	0.1761499096
122	0.1759304692
123	0.1758576071
124	0.1757689263
125	0.175601755
126	0.1754863381
127	0.1753698151
128	0.1752861898
129	0.1751380852
130	0.1750468176
131	0.1749587009
132	0.1747376173
133	0.1746227851
134	0.174462641
135	0.1744148088
136	0.1742730602
137	0.1741558744
138	0.1739856448
139	0.1738999042
140	0.1737794718
141	0.1737131489
142	0.1736025446
143	0.1734788692
144	0.1734013564
145	0.1732946286
146	0.1732283112
147	0.1731693393
148	0.1731012174
149	0.1729725765
150	0.1728808523
151	0.1727940585
152	0.1726931805
153	0.1726312411
154	0.1725350933
155	0.1724287981
156	0.1722286637
157	0.1721094541
158	0.172059031
159	0.1719243207
160	0.1718838465
161	0.1718011263
162	0.1717194438
163	0.1716720162
164	0.171626335
165	0.1715761757
166	0.1714917587
167	0.1713858661
168	0.1712954163
169	0.1712061338
170	0.1711165156
171	0.171060985
172	0.1709693573
173	0.1708914943
174	0.170801587
175	0.1707351543
176	0.1706369856
177	0.1705496298
178	0.1704739172
179	0.1704164637
180	0.1703017301
181	0.1702424481
182	0.1701632605
183	0.1700579229
184	0.1699810469
185	0.169919359
186	0.1698440847
187	0.1697437284
188	0.169671354
189	0.1695425848
190	0.1694722774
191	0.1693997853
192	0.1692925861
193	0.169213254
194	0.1691669135
195	0.1689615722
196	0.1689125839
197	0.1688373185
198	0.1687533032
199	0.168636229
200	0.1686005284
201	0.1685448725
202	0.1684590162
203	0.168379436
204	0.1683047583
205	0.1682679578
206	0.1681666168
207	0.1680991768
208	0.1680251963
209	0.1679566973
210	0.1678758331
211	0.1677961615
212	0.1677530339
213	0.1676460149
214	0.1675935152
215	0.1675608014
216	0.1674929388
217	0.1674096316
218	0.1673406082
219	0.1672323824
220	0.1671845387
221	0.1671277435
222	0.1670842598
223	0.1670229413
224	0.1669624314
225	0.1669133027
226	0.1668300197
227	0.1667703074
228	0.1667246142
229	0.1666713811
230	0.1666093182
231	0.1664928463
232	0.1663957461
233	0.1663114065
234	0.1662578051
235	0.1661974873
236	0.1661352565
237	0.1660642914
238	0.1659891605
239	0.1659600715
240	0.1659150632
241	0.1658636017
242	0.1658008644
243	0.1657586289
244	0.1657196608
245	0.1656812935
246	0.1656173352
247	0.1655898306
248	0.1655366889
249	0.1654758087
250	0.1654012028
251	0.1653263109
252	0.1652766161
253	0.1651785229
254	0.1651334813
255	0.1650636434
256	0.1650230646
257	0.1649715297
258	0.1649217511
259	0.1648671156
260	0.164819938
261	0.1647367861
262	0.1646203127
263	0.1645691042
264	0.1645204133
265	0.1644538469
266	0.1644177395
267	0.1643581685
268	0.1642955304
269	0.1642289225
270	0.1641227215
271	0.164041495
272	0.1639548834
273	0.1638385
274	0.1638164707
275	0.1637423515
276	0.163696333
277	0.1636436644
278	0.1636048195
279	0.1635018558
280	0.1634593012
281	0.1634138499
282	0.1633643604
283	0.1633182252
284	0.1632727908
285	0.1632261428
286	0.163191119
287	0.1631541251
288	0.1630735789
289	0.1630281243
290	0.1629914927
291	0.162948524
292	0.1628614564
