iter	Passed	Remaining
0	478	478458
1	511	255109
2	529	176109
3	546	136037
4	585	116518
5	615	101994
6	645	91560
7	661	82084
8	673	74211
9	686	67940
10	697	62728
11	733	60402
12	746	56661
13	759	53464
14	773	50824
15	802	49356
16	815	47147
17	825	45050
18	844	43605
19	873	42811
20	888	41418
21	899	39975
22	917	38969
23	932	37907
24	946	36927
25	961	36020
26	991	35733
27	1020	35425
28	1034	34647
29	1052	34018
30	1064	33274
31	1075	32543
32	1087	31854
33	1108	31496
34	1123	30968
35	1134	30367
36	1144	29793
37	1155	29263
38	1181	29119
39	1192	28621
40	1226	28679
41	1237	28223
42	1257	27976
43	1268	27567
44	1300	27593
45	1314	27267
46	1359	27559
47	1374	27260
48	1389	26962
49	1418	26955
50	1433	26668
51	1448	26403
52	1462	26134
53	1492	26141
54	1521	26150
55	1536	25909
56	1549	25635
57	1580	25666
58	1609	25671
59	1639	25679
60	1650	25411
61	1667	25230
62	1683	25033
63	1712	25049
64	1743	25081
65	1754	24823
66	1770	24658
67	1785	24469
68	1800	24293
69	1832	24340
70	1844	24130
71	1863	24013
72	1878	23849
73	1909	23892
74	1939	23917
75	1968	23930
76	1982	23762
77	1997	23612
78	2026	23630
79	2038	23447
80	2050	23268
81	2085	23349
82	2115	23368
83	2128	23213
84	2159	23249
85	2188	23260
86	2219	23287
87	2231	23125
88	2249	23021
89	2260	22860
90	2292	22899
91	2307	22769
92	2321	22641
93	2336	22522
94	2395	22818
95	2421	22801
96	2437	22695
97	2452	22577
98	2479	22563
99	2498	22484
100	2513	22371
101	2525	22231
102	2536	22092
103	2556	22025
104	2571	21917
105	2581	21773
106	2592	21637
107	2602	21498
108	2615	21378
109	2625	21244
110	2637	21124
111	2648	20999
112	2673	20984
113	2687	20886
114	2698	20764
115	2709	20646
116	2719	20526
117	2745	20524
118	2756	20410
119	2775	20351
120	2785	20234
121	2804	20183
122	2819	20099
123	2830	19993
124	2862	20037
125	2877	19957
126	2888	19854
127	2897	19741
128	2921	19725
129	2935	19644
130	2946	19542
131	2956	19443
132	2979	19421
133	2993	19347
134	3008	19279
135	3020	19189
136	3037	19131
137	3052	19064
138	3067	19000
139	3096	19020
140	3107	18929
141	3118	18844
142	3130	18763
143	3142	18683
144	3155	18604
145	3168	18532
146	3181	18462
147	3195	18393
148	3208	18324
149	3220	18248
150	3256	18311
151	3269	18242
152	3284	18185
153	3314	18207
154	3329	18149
155	3358	18169
156	3400	18256
157	3412	18187
158	3444	18221
159	3458	18154
160	3472	18096
161	3486	18035
162	3499	17968
163	3515	17921
164	3529	17862
165	3545	17810
166	3575	17835
167	3586	17763
168	3606	17735
169	3620	17677
170	3632	17610
171	3645	17548
172	3657	17482
173	3668	17416
174	3680	17352
175	3692	17285
176	3703	17221
177	3715	17156
178	3726	17093
179	3738	17032
180	3750	16971
181	3761	16907
182	3773	16846
183	3785	16786
184	3810	16786
185	3822	16729
186	3837	16683
187	3849	16627
188	3861	16568
189	3887	16574
190	3899	16516
191	3911	16459
192	3922	16401
193	3934	16344
194	3948	16301
195	3960	16244
196	3977	16210
197	3990	16164
198	4002	16108
199	4013	16052
200	4024	15998
201	4036	15946
202	4048	15894
203	4066	15865
204	4077	15814
205	4089	15760
206	4120	15786
207	4134	15742
208	4146	15692
209	4158	15645
210	4170	15595
211	4182	15545
212	4194	15498
213	4206	15450
214	4218	15403
215	4230	15356
216	4242	15307
217	4254	15259
218	4275	15247
219	4287	15202
220	4313	15205
221	4326	15161
222	4338	15115
223	4350	15072
224	4362	15026
225	4374	14981
226	4392	14956
227	4404	14913
228	4416	14870
229	4429	14828
230	4443	14791
231	4458	14758
232	4473	14726
233	4487	14690
234	4500	14650
235	4512	14609
236	4525	14568
237	4537	14527
238	4550	14487
239	4562	14446
240	4574	14406
241	4614	14453
242	4628	14417
243	4640	14376
244	4652	14336
245	4664	14298
246	4677	14259
247	4690	14222
